cuisines,count
"Italian, Pizza, Diner",113
"French, Asian",112
"European, Dutch, Seafood",112
Georgian,112
"Japanese, Sushi, Asian, Thai",112
"Cafe, Austrian, European",112
"Italian, Pizza, Tuscan, Central-Italian",112
"Dutch, Bar, Cafe, European, Pub",111
"Belgian, European, Dutch",110
"Dutch, European, Contemporary",110
"Polish, Cafe, European",110
"Italian, Seafood, Mediterranean, European, Lombard, Northern-Italian",110
"Italian, Pizza, Seafood, Mediterranean, European, Neapolitan, Campania, Southern-Italian",110
"Bar, Cafe, Fast food, Pub",110
"American, Bar, Fast food",110
"European, Spanish, Portuguese",109
"Italian, Pizza, Fast food, Mediterranean",109
"Cafe, Deli, German",109
Central European,109
"Seafood, British, Fast food",108
"Turkish, Mediterranean, Middle Eastern",108
"European, Grill, Portuguese",108
"Fast food, Cafe",108
"American, Street Food",108
"Bar, Italian",108
"Portuguese, Cafe, European",108
"Seafood, Mediterranean, Greek, European",108
"Fast food, Chinese",108
"Italian, Seafood, Mediterranean, European, Sardinian, Southern-Italian",107
"Steakhouse, Mediterranean, Greek",107
"Pizza, Deli",106
Catalan,106
"Cafe, Irish",106
"Mediterranean, Tunisian",106
"European, Mediterranean, Spanish",106
"Fast food, Asian, Thai",105
"Steakhouse, Mediterranean, Barbecue, Spanish",105
"Healthy, French",105
"Seafood, Mediterranean, Greek, Healthy",105
"Mediterranean, Spanish, Wine Bar",105
"Polish, Pizza, European",105
"Persian, Middle Eastern",105
Czech,105
"Spanish, French",104
"Italian, Mediterranean, Pizza, Seafood",104
"Healthy, Cafe",104
"European, Eastern European, Central European",104
"Barbecue, Asian, Korean",104
"French, Pizza, Italian",104
"Bar, Cafe, British",104
"Bar, French",103
"Chinese, Asian, Mongolian",103
"French, Bar, European, Gastropub",103
"European, Contemporary, Portuguese",103
"Spanish, Fast food",103
"French, European, Mediterranean",102
"Spanish, Barbecue",102
"Fast food, Barbecue",102
"Dutch, European, Pub",102
"German, Spanish",102
"Bar, International, Pub",102
"Italian, Steakhouse",102
"Italian, Pizza, Seafood, Mediterranean, Romana, Lazio, Central-Italian",102
"French, Pub",101
"Asian, Thai, Vietnamese, Chinese",101
"Indian, Asian, Balti, Eastern European, Bangladeshi",101
"Japanese, Sushi, Asian, Vietnamese",101
"European, Czech, Eastern European, Central European",101
"Steakhouse, Bar, British, Pub",101
"Irish, Pub",101
"Neapolitan, Campania, Southern-Italian",101
"Swedish, Scandinavian, European",101
Israeli,101
Moroccan,101
"Italian, Seafood, Mediterranean, Romana, Lazio, Central-Italian",100
"Portuguese, Seafood, European",100
"Seafood, Mediterranean, European, Spanish, Healthy",100
"Italian, Pizza, Seafood, Mediterranean, European, Sicilian, Southern-Italian",100
"Pub, British",100
"Chinese, Japanese, Asian, Sushi",100
"German, Cafe, Deli",100
"British, Pub, Gastropub",100
"Mexican, Spanish",100
"Seafood, Mediterranean, Spanish, European",99
"Pizza, Seafood",99
"Turkish, Mediterranean",99
"International, Greek",99
"Italian, Brew Pub",99
"French, Swiss, European",99
"European, British, Contemporary",99
"French, Bar, Cafe, European, Pub",99
"Bar, Italian, Pub",99
"International, European, Hungarian",99
"Fast food, International",98
"Mediterranean, Spanish, Diner",98
"Indian, Asian, Balti, Pakistani",98
"Asian, Japanese",98
"Greek, Cafe",98
"French, Steakhouse, Barbecue, European",98
"Italian, Mediterranean, Deli",98
"Mexican, South American, Central American",98
"Italian, Seafood, Mediterranean, European, Tuscan, Central-Italian",97
"Polish, European, Eastern European",97
Lebanese,97
"Dutch, Bar, Seafood, European",97
"French, Bar, Cafe",97
"Italian, French, Pizza, Mediterranean, European",96
"Hungarian, European",96
"Moroccan, Middle Eastern",95
"French, Diner",95
"Fast food, Mediterranean",95
"German, Contemporary",95
"Chinese, Asian, Sushi",95
"Asian, Fusion",95
"American, Grill",95
"Austrian, Bar, Cafe, European, Pub",94
"Seafood, Mediterranean, Barbecue, European, Croatian",94
"Middle Eastern, Arabic",94
"Indian, Asian, Bangladeshi, Balti",94
"Indian, Asian, Sri Lankan",94
"Dutch, Bar, Cafe, European",94
"Italian, German, Pizza",94
"Indian, Asian, Pakistani",94
"European, Austrian",94
Brazilian,94
"Italian, Mediterranean, European, Wine Bar",93
"Italian, Bar, Pizza",93
"Italian, Soups",93
"Italian, Pizza, Southern-Italian",93
"Seafood, Italian, Pizza, Mediterranean",92
"Bar, French, Pub",92
"Indian, Thai",92
"German, European, Diner, Central European",92
"Steakhouse, Argentinian",92
"Steakhouse, Spanish, Mediterranean",92
"Bar, Pub, Irish",91
"Bar, Pub, French",91
"Caribbean, Cuban",91
"Italian, European, Portuguese",91
"Belgian, Bar, European",91
"Moroccan, Middle Eastern, Mediterranean, Tunisian",91
"Italian, Indian",91
"Italian, Pizza, Lombard, Northern-Italian",91
"French, Barbecue, Grill",90
