restaurant_name,country_name,city_name,cuisines
le Tassili,France,Maurepas,"Moroccan, Middle Eastern, Mediterranean, Tunisian"
Bistrot du Boucher,France,Maurepas,"French, Bar, European, Pub"
Le Transat,France,Maurepas,French
Ristorante Pizzeria Vitigno,France,Maurepas,"Italian, Pizza"
Le Maurepas,France,Maurepas,French
Auberge le Village,France,Maurepas,"French, European"
Shinjuku,France,Maurepas,"Chinese, Japanese, Asian"
Creps Cafe,France,Maurepas,"French, Pizza, Fast food"
Villa Maria,France,Maurepas,Portuguese
Sushi Wok 78,France,Maurepas,"Japanese, Asian, Chinese"
Akhshaya,France,Maurepas,Indian
Memphis Coffee Maurepas,France,Maurepas,American
L'auberge Landaise,France,Lue,French
Au Fil des Landes,France,Lue,"French, Belgian, European"
Le Mas Lindo,France,Jonquerettes,"Pizza, French"
Quai 808,France,Guilherand Granges,French
Cafe Arthur,France,Guilherand Granges,"French, Cafe, European"
Flunch,France,Guilherand Granges,French
Shanghai wok,France,Guilherand Granges,"Chinese, Asian, Japanese"
Le Petit Paradis,France,Guilherand Granges,"Bar, Pub"
L'Arome,France,Guilherand Granges,
City Kebab,France,Guilherand Granges,"Middle Eastern, Turkish"
Pizza Mistral,France,Guilherand Granges,Pizza
Poivre et Sel,France,Guilherand Granges,"French, Bar, Pub"
La Tonnelle,France,Guilherand Granges,French
Le Mas de Crussol,France,Guilherand Granges,French
Pacha Restaurant,France,Guilherand Granges,"Pizza, International"
Le Cashmir,France,Guilherand Granges,"Indian, Pakistani"
Boulangerie Granges Croustillantes,France,Guilherand Granges,French
L'Acropole,France,Guilherand Granges,
Restaurant la Cigaline,France,Guilherand Granges,"French, European"
San Raffaelo,France,Guilherand Granges,"Italian, French, Pizza"
Basilic & Co Guilherand-Granges,France,Guilherand Granges,"Italian, Pizza"
McDonald's,France,Guilherand Granges,Fast food
Le Cheval Blanc,France,Change,French
Chez Monique,France,Change,French
L'Envol,France,Change,"French, Bar, European, Pub"
Flunch,France,Change,French
Domaine de la Blanchardiére,France,Change,French
La Maison - Restaurant,France,Saulce-sur-Rhone,French
Restaurant Le Patio,France,Saulce-sur-Rhone,French
Le N7,France,Saulce-sur-Rhone,Cafe
Courtepaille,France,Saulce-sur-Rhone,"French, Barbecue, European"
Aix & Terra - La Manufacture,France,Saulce-sur-Rhone,French
La Baie d'Halong,France,Moutiers,"Asian, Thai, Chinese, Vietnamese"
Au Delice Gourmand,France,Moutiers,French
Le Mic Mac,France,Moutiers,Italian
Les 3 Vallées Café,France,Moutiers,"French, Cafe, Bar, Gastropub"
Mai Thai,France,Moutiers,"Asian, Thai"
Le Coq Rouge,France,Moutiers,"French, European"
Auberge de Savoie,France,Moutiers,"French, European"
Boulangerie Marie Blachere,France,Moutiers,
la Petite Fabrique,France,Moutiers,"French, European, Healthy"
La Voute,France,Moutiers,"French, Gastropub"
Le Rive Gauche,France,Moutiers,French
La Chaumiere,France,Moutiers,"Italian, Pizza"
L'Istanbul,France,Moutiers,"Fast food, Turkish, Middle Eastern"
Planète Pizza,France,Moutiers,"Italian, Pizza"
Le Clem-Tom,France,Moutiers,"Italian, Pizza, French, European"
La Cabane a Pizzas,France,Moutiers,"Italian, Pizza"
Le Cardinal,France,Moutiers,French
Cafe De L'auberge,France,Moutiers,French
Le Petit Resto d'Adriano,France,Moutiers,"French, Pizza, European"
La Valtellina,France,Moutiers,"Italian, Bar, Cafe, Pub, Wine Bar"
Tokyo,France,Luce,"Japanese, Asian, Chinese, Sushi"
Chic & Chicken,France,Luce,"Mexican, American, Indian, Grill, Middle Eastern, Pakistani"
M2H,France,Luce,
Black Burger Coffee,France,Luce,"French, American"
Boulangerie Marie Blachere,France,Luce,
ibis Chartres Ouest Luce bistro restaurant,France,Luce,
China Town,France,Luce,"Chinese, Japanese, Asian"
Chez Wang,France,Luce,
L'Amuse Bouche,France,Luce,French
Flunch,France,Fourmies,French
Restaurant des Etangs des Moines,France,Fourmies,French
Chez Jacques,France,Fourmies,
Friterie au p'tit Gourmand,France,Fourmies,
Restau'Planche a Vins,France,Fourmies,
Lucky Wok,France,Fourmies,"Chinese, Japanese, Asian"
la mezzanine,France,Fourmies,"French, European"
La Petite Ferme,France,Fourmies,French
Sas Mr Kebab,France,Fourmies,Turkish
McDonald's,France,Fourmies,Fast food
İstanbul restaurant,France,Egletons,"Turkish, Middle Eastern"
Restaurant Anatolie,France,Egletons,"Turkish, Middle Eastern"
Indochine,France,Egletons,Asian
Le Restaurant Ibis Egletons,France,Egletons,French
